stock,est,se,bot,top,cv,Trend2023,pDecrease
statewide,215503.474,4709.96204781056,207960.375,226633.05,0.0218556200528376,NA,NA
1,6212.395,260.466446485425,5719.975,6727.075,0.041926897192697,-0.194557858044674,0.6
2,330.903,51.8135912598156,241.95,449.025,0.156582416175784,1.39427869226929,0.311
3,36421.376,2221.27909760423,32297.2,40813.275,0.0609883354655307,0.194295145354039,0.421
4,8233.63,1225.83826035107,6216.9,10633.2,0.148881873529788,1.25968172512024,0.269
5,19490.352,2117.52203475281,16162.775,24764.675,0.10864462759589,1.27535173341271,0.208
6,38220.322,2094.65798984235,34220.55,42144.575,0.054804823199615,-2.09606249994573,0.993
7,32004.969,2344.28142112256,28530.6,38614.275,0.0732474204590719,0.327469884640841,0.41
8,6029.958,868.133128826084,4419.95,7746.85,0.143970012531776,0.629115317268436,0.408
9,11567.612,839.968946620818,10130.85,13464.35,0.0726138589901544,-0.364566883329457,0.626
10,12015.079,864.131422802617,10501.95,13919.225,0.0719205777009553,-0.837053568471163,0.777
11,21390.831,1999.64156108334,17638.7,25609.75,0.0934812472261287,-0.445898161337286,0.64
12,23586.047,2368.0871389137,20429.925,29412.7,0.100402035954295,-1.14034482352746,0.851
